L/W,H/P,Wi/Wo,P/Wu,CPK obs
5.99,0.19145,1,1.25,2.58308
5.99,0.25539,1,1.25,2.16007
5.99,0.32096,1,1.25,1.88651
5.99,0.37618,1,1.25,1.70894
5.99,0.43613,1,1.25,1.60542
5.99,0.48572,1,1.25,1.52314
5.99,0.52641,1,1.25,1.50738
5.99,0.16874,1.2247191011236,1.25,2.91286
5.99,0.20526,1.2247191011236,1.25,2.54949
5.99,0.24722,1.2247191011236,1.25,2.31364
5.99,0.30244,1.2247191011236,1.25,2.08191
5.99,0.34294,1.2247191011236,1.25,1.89611
5.99,0.39925,1.2247191011236,1.25,1.76722
5.99,0.47264,1.2247191011236,1.25,1.60336
5.08140531276778,0.16594,1.49699879951981,0.843616109682948,2.538602
5.08140531276778,0.19192,1.49699879951981,0.843616109682948,2.4240436
5.08140531276778,0.2173,1.49699879951981,0.843616109682948,2.3323564
5.08140531276778,0.24298,1.49699879951981,0.843616109682948,2.2149644
5.08140531276778,0.28799,1.49699879951981,0.843616109682948,2.0350814
5.08140531276778,0.37287,1.49699879951981,0.843616109682948,1.7871414
5.08140531276778,0.46168,1.49699879951981,0.843616109682948,1.5891942
5.08140531276778,0.54355,1.49699879951981,0.843616109682948,1.456521
5.08140531276778,0.64324,1.49699879951981,0.843616109682948,1.3162578
5.08140531276778,0.73266,1.49699879951981,0.843616109682948,1.2266452
5.08140531276778,0.78612,1.49699879951981,0.843616109682948,1.1780186
5.08140531276778,0.83718,1.49699879951981,0.843616109682948,1.1391578
5.0796573875803,0.15205,1.24972972972973,0.843254817987152,2.5754388
5.0796573875803,0.16322,1.24972972972973,0.843254817987152,2.5178054
5.0796573875803,0.17319,1.24972972972973,0.843254817987152,2.4802602
5.0796573875803,0.19102,1.24972972972973,0.843254817987152,2.3976304
5.0796573875803,0.19857,1.24972972972973,0.843254817987152,2.3629188
5.0796573875803,0.21005,1.24972972972973,0.843254817987152,2.317733
5.0796573875803,0.2176,1.24972972972973,0.843254817987152,2.285096
5.0796573875803,0.24569,1.24972972972973,0.843254817987152,2.181619
5.0796573875803,0.2759,1.24972972972973,0.843254817987152,2.0684268
5.0796573875803,0.30883,1.24972972972973,0.843254817987152,1.9350958
5.0796573875803,0.34599,1.24972972972973,0.843254817987152,1.8287852
5.0796573875803,0.37015,1.24972972972973,0.843254817987152,1.7683688
5.0796573875803,0.40248,1.24972972972973,0.843254817987152,1.6926712
5.0796573875803,0.43299,1.24972972972973,0.843254817987152,1.6315464
5.0796573875803,0.4635,1.24972972972973,0.843254817987152,1.573913
5.0796573875803,0.4925,1.24972972972973,0.843254817987152,1.5252864
5.0796573875803,0.50851,1.24972972972973,0.843254817987152,1.50029
5.0796573875803,0.52573,1.24972972972973,0.843254817987152,1.4801512
5.0796573875803,0.55443,1.24972972972973,0.843254817987152,1.440582
5.0796573875803,0.58916,1.24972972972973,0.843254817987152,1.39403
5.0796573875803,0.62149,1.24972972972973,0.843254817987152,1.3579016
5.0796573875803,0.6529,1.24972972972973,0.843254817987152,1.3218238
5.0796573875803,0.68251,1.24972972972973,0.843254817987152,1.2919192
5.0796573875803,0.71544,1.24972972972973,0.843254817987152,1.2613568
5.0796573875803,0.74897,1.24972972972973,0.843254817987152,1.2301366
5.0796573875803,0.77948,1.24972972972973,0.843254817987152,1.2023572
5.0796573875803,0.8121,1.24972972972973,0.843254817987152,1.1794354
5.0796573875803,0.84443,1.24972972972973,0.843254817987152,1.1530222
5.0796573875803,0.87222,1.24972972972973,0.843254817987152,1.1384494
5.0796573875803,0.88974,1.24972972972973,0.843254817987152,1.1301004
5.0796573875803,0.90726,1.24972972972973,0.843254817987152,1.1168938
5.0796573875803,0.9269,1.24972972972973,0.843254817987152,1.1085954
5.08490566037736,0.1741,1,0.844339622641509,2.3719256
5.08490566037736,0.19887,1,0.844339622641509,2.2677402
5.08490566037736,0.22968,1,0.844339622641509,2.1288432
5.08490566037736,0.25687,1,0.844339622641509,2.0121596
5.08490566037736,0.30883,1,0.844339622641509,1.8468494
5.08490566037736,0.39251,1,0.844339622641509,1.6378208
5.08490566037736,0.48374,1,0.844339622641509,1.4711444
5.08490566037736,0.565,1,0.844339622641509,1.3703998
5.08490566037736,0.65925,1,0.844339622641509,1.2759802
5.08490566037736,0.74353,1,0.844339622641509,1.2051402
